element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
Mn,2,251.4950,0.0006,30,9.0e-03,C,30796.06,70546.34,,T7259,L562
Fe,2,251.51190,0.00002,15000,2.13e+00,B+,50142.811,89890.396,,T6892c83,L18349c139
Na,2,251.5455,0.0003,600,2.25e-01,C+,293220.33,332962.57,,T6036,L914
Fe,2,251.55182,0.00017,500,9.e-02,D+,63876.325,103617.577,,T6892c83,L18349c139
Pt,1,251.55770,0.00006,13000,1.11e-01,B+,775.8761,40516.229,,T3313n,L11529
Bi,1,251.56326,0.00020,500,2.13e-02,C,11419.039,51158.494,,T6498,L9843
Cs,3,251.5745,0.0004,1500p,3.97e-03,,144591.760,184329.523,,T8611,L14869
Fe,2,251.57530,0.00007,1300,1.4e-01,D+,64286.354,104023.921,,T6892c83,L18349c139
Cs,3,251.5790,0.0002,2200p,1.03e-02,,144591.760,184328.767,,T8611,L14869
Fe,1,251.58536,0.00009,42,1.22e-02,C,12560.934,52296.920,,T5720,L11631
Fe,2,251.59055,0.00002,4000,8.4e-01,C+,64834.069,104569.226,,T6892c83,L18349c139
Fe,2,251.59335,0.00004,6000,2.9e-01,D+,39109.3161,78844.031,,T6892c83,L18349c148
Ti,3,251.6053,0.0010,25,3.4e+00,D,38425.99,78158.61,,T1216,"L3593,L11926"
Fe,2,251.6057,0.0005,"240d,bl(Fe II)?*",1.1e-02,D,50157.475,89890.396,,T6892c83,L18349c142
Si,1,251.6113,0.0010,500,1.68e+00,B,223.157,39955.053,,T5814,L3521
V,3,251.614,0.010,500,3.7e+00,D,63303.12,103034.65,,T3396n,L4746
Co,2,251.62485,0.00012,130,6.e-02,D,67209.258,106939.007,,T6999,L9429c118
Fe,1,251.62504,0.00020,115bl,3.73e-03,C,7376.764,47106.484,,T5720,L11631
Co,2,251.65538,0.00018,860,1.2e-02,E,27484.373,67209.258,,T6999,L9429c118
Fe,1,251.65707,0.00002,650,1.71e-02,C,7728.060,47452.717,,T5720,L11631
Mn,2,251.6599,0.0006,200,8.7e-02,B+,27571.25,67295.446,,T7259,L562
Mn,2,251.6742,0.0006,300,1.0e+00,D,30796.06,70518.06,,c88,L562
Co,2,251.69572,0.00019,200,1.1e-01,D,52684.634,92403.200,,T6999,L9429c118
Fe,2,251.713092,0.000012,50000,9.e-01,D+,22409.8178,62125.604,,T6892c83,L18349c145
V,1,251.71486,0.00009,690000,1.42e-01,C+,323.432,40038.970,,T9399,L15916
O,4,251.72,0.10,200,1.24e+00,B,439230.9,478942.9,,T5109LS,L648
Fe,2,251.72203,0.00005,6000bl(Fe II)*,5.8e-02,D+,25981.6451,65696.053,,T6892c83,L18349c148
Fe,2,251.73332,0.00015,1600,2.0e-02,D,39013.2160,78725.822,,T6892c83,L18349c139
Co,2,251.7348,0.0010,4700,2.2e-02,D,28111.872,67824.389,,T6999,L4687c119
Mn,2,251.738,0.002,60,1.90e-02,B,27583.59,67295.446,,T7259,L562
Ti,2,251.743134,0.000013,160,5.01e-02,B+,1087.3561,40798.4333,,T7385,u37
Co,2,251.74364,0.00003,8300,4.6e-01,D,25317.517,65028.512,,T6999,L9429c118
