element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
Ne,3,252.2025,0.0010,20,5.8e-03,C,353163.013,392801.818,,c52,L10704
W,2,252.204075,0.000010,169,2.48e-01,B,4716.278,44354.784,,T7162,L11762
Fe,2,252.21971,0.00003,11000,4.2e-02,D+,21251.5833,60887.606,,T6892c83,L18349c145
N,2,252.223,0.010,220,2.26e-01,C+,170666.23,210301.68,,T5520LS,L3513
Co,2,252.2415,0.0015,1600d,5.e-02,D,52684.634,92317.368,,T6999,L4687c119
Fe,2,252.24337,0.00014,2000,3.6e-02,D+,46967.4751,86599.791,,T6892c83,L18349c139
Fe,1,252.24798,0.00002,590,1.14e-02,C+,7376.764,47008.371,,T5720,L11631
V,2,252.25079,0.00006,3600,4.1e-02,D+,12621.4857,52252.6480,,T9770,L18516
Fe,1,252.28493,0.00002,11700,2.13e+00,B,0.000,39625.804,,T5720,L11631
Fe,2,252.289161,0.000012,60000,2.13e+00,B+,33466.4943,73091.630,,T6892c83,L18349c139
Co,2,252.29565,0.00003,50000*,1.1e-01,D,45972.036,85596.170,,T6999,L9429c118
Co,2,252.29565,0.00003,50000*,1.1e+00,D,27585.138,67209.258,,T6999,L9429c118
In,1,252.2985,0.0010,10,1.27e-02,C+,2212.599,41836.41,,T7227,L3547
Mn,2,252.3013,0.0006,100,1.0e+00,D,48317.83,87941.14,,c88,L562
Nb,4,252.3169,0.0005,50000,3.0e-01,D+,181171.43,220792.27,,T2192,L12094
O,2,252.3212,0.0010,7,9.63e-02,D,214169.920,253789.99,,T5723LS,L10621
Hg,2,252.3324,0.0002,1600p,1.2e-02,,97095.774,136714.118,,T7226,L11760
W,1,252.3410,0.0010,60r,5.1e-01,C,4830.00,44447.02,,T6977,L153
Fe,2,252.344146,0.000017,19000,5.9e-01,D+,39109.3161,78725.822,,T6892c83,L18349c139
V,2,252.3609,0.0003,4600,9.e-03,D+,30613.910,70227.799,,T9770,L18516
Ir,2,252.3610,0.0020,64,1.98e-02,B,11719.11,51333.00,,T7750,"L4457,L18358,L8724"
Ir,2,252.3870,0.0020,57,5.e-02,E,18676.49,58286.54,,T7959,"L4457,L18358"
Sn,1,252.39069,0.00005,2000,7.4e-02,D,8612.955,48222.159,,T4515,"L3149,L7378"
V,2,252.39514,0.00004,17000,3.9e-01,C,11514.7845,51123.299,,T9770,L18516
Si,1,252.4108,0.0010,425,2.22e+00,B,77.115,39683.163,,T5814,L3521
Fe,2,252.41529,0.00016,1600,2.2e-02,D,45079.9019,84685.245,,T6892c83,L18349c139
Co,2,252.4261,0.0015,76d,3.1e-03,E,40695.028,80298.81,,T6999,L4687c119
Fe,1,252.42923,0.00002,3160,3.23e+00,B,888.132,40491.284,,T5720,L11631
Pt,1,252.43065,0.00006,2900,1.57e-01,B+,6567.4517,46170.3757,,T3313,L11529
B,4,252.440,0.005,1300*,6.6237e+00,AAA,1982137.3,2021739.1,,T8636c73,L12548
B,4,252.440,0.005,1300*,4.4490e+00,AAA,1982137.3,2021739.1,,T8636c73,L12548
B,4,252.440,0.005,1300*,5.3210e-01,AAA,1982137.3,2021739.1,,T8636c73,L12548
B,4,252.440,0.005,1300*,5.6105e+00,AAA,1982137.3,2021739.1,,T8636c73,L12548
B,4,252.440,0.005,1300*,1.0385e+00,AAA,1982137.3,2021739.1,,T8636c73,L12548
B,4,252.440,0.005,1300*,2.9730e-02,AAA,1982137.3,2021739.1,,T8636c73,L12548
Ar,3,252.448,0.004,1,2.5e-02,E,186904.026,226504.1601,,"T1619CA,LS",L7491
Bi,1,252.44907,0.00020,1600,8.6e-02,C+,11419.039,51019.090,,T6498,L9843
Co,2,252.46343,0.00003,26000,1.0e+00,D,24267.382,63865.170,,T6999,L9429c118
Ti,2,252.463890,0.000013,206,8.21e-02,B+,983.9157,40581.6301,,T7385,u37
Cs,3,252.4672,0.0006,2000p,3.27e-02,,180738.292,220335.354,,T8611,L14869
Co,2,252.46771,0.00003,6500,1.7e-01,D,25317.517,64914.630,,T6999,L9429c118
Fe,2,252.47539,0.00003,2400,5.2e-01,D+,66612.659,106208.574,,T6892c83,L18349c139
Co,2,252.47785,0.00013,320,1.1e-01,D,69317.077,108912.599,,T6999,L9429c118
Fe,2,252.4818,0.0005,150d?,1.0e-02,D,65696.053,105291.014,,T6892c83,L18349c142
Co,2,252.49736,0.00003,68000,1.82e+00,B+,11321.860,50914.325,,T6854,L9429c118
Co,2,252.50816,0.00003,16000,5.3e-01,D,24074.420,63665.192,,T6999,L9429c118
Fe,2,252.51099,0.00002,15000,4.7e-01,C+,33501.2957,73091.630,,T6892c83,L18349c139
Cs,3,252.52432,0.00011,96000h,5.07e-02,,136693.500,176281.761,,T8611,L14869
Fe,2,252.53281,0.00003,1400,5.3e-01,C+,70314.624,109901.523,,T6892c83,L18349c139
Fe,2,252.538758,0.000012,240000,1.91e+00,B+,21251.5833,60837.560,,T6892c83,L18349c139
Fe,2,252.54782,0.00005,4000,3.8e-01,D+,50142.811,89727.383,,T6892c83,L18349c139
Ti,2,252.560296,0.000013,1350,4.06e-01,B+,1215.8329,40798.4333,,T7385,u37
Fe,2,252.56322,0.00005,1500,2.3e-01,D+,66463.542,106045.712,,T6892c83,L18349c139
Na,2,252.5647,0.0003,50,2.78e-03,D,293220.33,332802.21,,T7663,L914
Cs,3,252.56707,0.00008,840000,1.53e+00,,121065.660,160647.193,,T8611,L14869
Fe,2,252.56993,0.00014,1900,3.4e-02,D+,45289.8248,84870.911,,T6892c83,L18349c139
Fe,2,252.58616,0.00002,13000bl(Fe II)*,6.4e-02,D+,26352.7671,65931.358,,T6892c83,L18349c148
Fe,2,252.58616,0.00002,13000bl(Fe II)*,6.0e-01,D+,38164.220,77742.736,,T6892c83,L18349c148
Fe,2,252.591870,0.000013,36000,7.4e-01,C+,38660.0537,78237.709,,T7466,L18349c139
Cs,3,252.5944,0.0003,14000,1.31e-01,,162863.218,202440.470,,T8611,L14869
Co,2,252.60589,0.00003,2800,1.4e-01,D,31199.412,70774.869,,T6999,L9429c118
Fe,2,252.607458,0.000013,32000,3.5e-01,D+,21581.6151,61156.827,,T6892c83,L18349c139
Fe,2,252.61121,0.00016,1500,7.e-03,D,25981.6451,65556.271,,T6892c83,L18349c139
Co,2,252.61862,0.00003,2700,2.1e-02,D,66017.647,105591.110,,T6999,L9429c118
Fe,2,252.629363,0.000012,350000,2.47e+00,B+,20830.5534,60402.333,,T6892c83,L18349c139
Ta,1,252.635,0.010,1200D,4.5e-01,D+,2010.10,41580.98,,T7871,L3475
Cs,3,252.6428,0.0004,500,1.22e-02,,182505.260,222074.975,,T8611,L14869
Al,2,252.6486,0.0010,1000,1.94e-01,C+,95350.60,134919.40,,T6533,L4575
Co,2,252.65033,0.00003,1500,2.2e-01,D,74376.792,113945.285,,T6999,L9429c118
Fe,2,252.6529,0.0005,160d?,1.3e-02,D,64040.891,103608.921,,T6892c83,L18349c142
Cu,2,252.65923,0.00005,500000,2.7e-01,C+,68447.7349,108014.8372,,T4280,L869c171
Fe,2,252.66159,0.00003,3300,7.1e-01,C+,65556.271,105123.005,,T6892c83,L18349c139
O,2,252.6869,0.0010,11,1.20e-01,D,214229.671,253792.40,,T5723LS,L10621
Cs,3,252.6971,0.0004,880,7.23e-02,,169037.575,208598.702,,T8611,L14869
Tm,1,252.7022,0.0005,1300,1.47e-01,B+,0.000,39560.41,,T3042n,"L2006,L3475"
Fe,2,252.710433,0.000012,40000,3.7e-01,D+,21430.3564,60989.444,,T6892c83,L18349c139
Cr,1,252.71170,0.00002,73,5.3e-01,E,8307.5753,47866.4604,,T3196,L14866
Fe,2,252.71563,0.00003,9000,9.e-02,D+,25805.3270,65363.607,,T6892c83,L18349c139
Fe,2,252.72657,0.00004,2300bl(Fe I),2.3e-01,D+,64040.891,103597.409,,T6892c83,L18349c148
Fe,1,252.72661,0.00005,158,3.46e-01,D+,19390.168,58946.732,,T5720,L11631
Fe,1,252.74348,0.00002,6600,1.93e+00,B,415.933,39969.853,,T5720,L11631
Fe,2,252.745493,0.000011,90000,1.23e+00,C+,33501.2957,73054.913,,T6892c83,L18349c145
Fe,2,252.76758,0.00005,4000,5.5e-02,D+,30764.4737,70314.624,,T6892c83,L18349c139
Fe,2,252.770477,0.000012,40000bl(Fe I),9.1e-01,C+,33466.4943,73016.184,,T6892c83,L18349c148
Tm,1,252.785,0.002,350,6.4e-02,C+,0.000,39547.31,,T3042n,L3475
V,2,252.790426,0.000015,87000,1.23e+00,A,12706.0798,52252.6480,,T9770,L18516
Ti,1,252.7985,0.0003,10,6.8e-02,C,170.1328,39715.439,,T3499n,L10989
Mn,2,252.8011,0.0006,100,1.3e+00,C,49517.69,89062.69,,c88,L562
Co,2,252.82237,0.00003,22000,5.0e-01,D,24074.420,63615.990,,T6999,L9429c118
Fe,2,252.8348,0.0005,230d,1.6e-02,D,50187.822,89727.383,,T6892c83,L18349c142
Ba,2,252.84078,0.00010,249,6.9e-01,C,20261.561,59800.254,,"T3225,T7387",L9224
V,2,252.846598,0.000015,63000,1.21e+00,B,12545.1024,52082.8854,,T9770,L18516
Si,1,252.8509,0.0010,450,9.04e-01,B,223.157,39760.285,,T5814,L3521
Sb,1,252.852,0.010,2000r,1.77e+00,,9854.018,49391.133,,T3880,L7406
Co,2,252.86155,0.00003,100000,1.33e+00,B+,9812.860,49348.304,,T6854,L9429c118
Fe,2,252.86811,0.00005,5000,2.3e-02,D+,22637.1950,62171.624,,T7503,L18349c139
V,2,252.883460,0.000015,74000,1.20e+00,A,12621.4857,52153.5082,,T9770,L18516
Cs,3,252.88961,0.00010,16000,3.29e-01,,131782.478,171313.524,,T8611,L14869
Co,1,252.897,0.010,2900,2.8e+00,D,816.00,40345.95,,T4223,L3475
Fe,2,252.907709,0.000014,25000,1.80e+00,C+,38214.503,77742.736,,T6892c83,L18349c139
Fe,1,252.91348,0.00002,4900,9.91e-01,B,704.007,40231.336,,T5720,L11631
Mg,3,252.9190,0.0010,10,1.89e-01,B+,427852.1,467378.5,,c46,L1434
Fe,2,252.922808,0.000012,40000,3.3e-01,D+,26170.1810,65696.053,,T6892c83,L18349c139
Cu,2,252.930395,0.000021,940000,1.06e+00,C+,70841.4669,110366.1542,,T6136,L19804c167
Fe,1,252.93075,0.00002,910,4.86e+00,B,21038.987,60563.614,,T5720,L11631
Fe,2,252.954515,0.000014,250000,2.20e+00,B+,22637.1950,62158.126,,T6892c83,L18349c145
Fe,2,252.955919,0.000012,130000,2.02e+00,C+,21812.0454,61332.753,,T6892c83,L18349c145
Ti,2,252.974777,0.000013,154,7.48e-02,B+,907.9672,40425.7183,,T7385,u37
Fe,1,252.98352,0.00002,2190,3.83e-01,B,888.132,40404.518,,T5720,L11631
Ti,1,252.9871,0.0003,5,3.8e-01,C,170.1328,39685.964,,T3499n,L10989
Fe,2,252.99308,0.00003,8000,2.0e-01,D+,33501.2957,73016.184,,T6892c83,L18349c139
B,4,253.006,0.005,2400*,1.2369e-01,AAA,1982230.7,2021743.1,,T8636c73,L12548
B,4,253.006,0.005,2400*,3.1465e-01,AAA,1982230.7,2021743.1,,T8636c73,L12548
B,4,253.006,0.005,2400*,1.0908e+01,AAA,1982230.7,2021743.1,,T8636c73,L12548
B,4,253.006,0.005,2400*,1.0327e+01,AAA,1982230.7,2021743.1,,T8636c73,L12548
B,4,253.006,0.005,2400*,3.6707e-01,AAA,1982230.7,2021743.1,,T8636c73,L12548
B,4,253.006,0.005,2400*,1.0006e+01,AAA,1982230.7,2021743.1,,T8636c73,L12548
B,4,253.006,0.005,2400*,5.7809e-01,AAA,1982230.7,2021743.1,,T8636c73,L12548
B,4,253.006,0.005,2400*,1.3913e-02,AAA,1982230.7,2021743.1,,T8636c73,L12548
Fe,2,253.0067,0.0003,1500,2.1e-02,D,44753.8179,84266.594,,T6892c83,L18349c139
Co,2,253.00797,0.00003,110000,1.8e+00,C+,24074.420,63586.987,,T6999,L9429c118
Fe,2,253.010035,0.000012,32000,6.6e-01,C+,39013.2160,78525.442,,T6892c83,L18349c139
Fe,2,253.010921,0.000012,100000,4.3e-01,D+,22810.3459,62322.445,,T6892c83,L18349c139
Hg,2,253.0113,0.0003,30,3.3e-03,,95187.361,134699.466,,T7226,L11760
Co,1,253.013,0.010,720,7.1e-02,D,4690.18,44201.92,,T4223,L3475
Fe,2,253.0154,0.0003,310,3.1e-02,D+,66078.272,105589.674,,T6892c83,L18349c139
V,1,253.01853,0.00009,920000,1.54e-01,C+,552.955,40063.874,,T9399,L15916
Na,3,253.0249,0.0005,15,3.65e-01,B+,367040.66,406550.63,,"c51,T7317",L1882
Co,2,253.02657,0.00003,1000,1.2e-01,D,45972.036,85481.689,,T6999,L9429c118
O,2,253.0274,0.0010,13,8.16e-02,D,211712.732,251222.19,,T5723LS,L10621
Fe,2,253.02876,0.00010,700,1.8e-02,D,65556.271,105065.627,,T6892c83,L18349c139
Fe,2,253.03419,0.00012,600,4.3e-02,D+,66589.042,106097.530,,T6892c83,L18349c139
Ir,2,253.0407,0.0010,610,9.e-02,E,11719.11,51226.52,,T7959,"L4457,L7593"
Fe,2,253.04178,0.00005,1700,4.2e-01,C+,65556.271,105063.561,,T6892c83,L18349c139
Fe,2,253.05700,0.00007,1400,6.9e-02,D+,65363.607,104868.522,,T6892c83,L18349c139
Fe,1,253.06915,0.00002,1410,6.40e-03,B,704.007,40207.091,,T5720,L11631
Te,1,253.074,0.003,190000,1.09e-02,,4750.712,44253.000,,T7227,"L5813,L3475,L17457,L7363"
Tl,2,253.086,0.010,20,1.18e+00,,75663.33,115165.60,,T7307,L3272
Co,2,253.10136,0.00005,820,6.e-01,D,64914.630,104412.631,,T6999,L9429c118
Ne,8,253.12,0.20,330bl*,2.11e+00,A,[1818691.1],[1858213.1],,T7495,L9090
Ne,8,253.12,0.20,330bl*,2.58e+00,A,[1818704.9],[1858214.3],,T7495,L9090
Ne,8,253.12,0.20,330bl*,2.93e+00,A,[1818709],[1858215.1],,T7495,L9090
Ti,2,253.125172,0.000013,930,3.71e-01,B+,1087.3561,40581.6301,,T7385,u37
Na,2,253.1538,0.0003,600,8.44e-01,C+,293220.33,332710.11,,T7663,L914
Co,2,253.16668,0.00003,4400,1.44e+00,C+,74376.792,113864.592,,T6999,L9429c118
Fe,2,253.187088,0.000012,7000,2.30e+00,B+,70523.694,110008.310,,T6892c83,L18349c139
V,2,253.188412,0.000019,25000,1.2e+00,D,36919.2647,76403.6726,,T9770,L18516
Fe,2,253.2050,0.0002,1500,2.7e-02,D+,44784.7859,84266.594,,T6892c83,L18349c139
Cs,3,253.2361,0.0006,1800p,4.35e-03,,142067.732,181544.785,,T8611,L14869
Si,1,253.2381,0.0010,110,2.45e-01,C,15394.370,54871.031,,T5071,L3521
Cl,3,253.248,0.010,500,5.3e+00,D,209182.8?,248658.44,,"T1619CA,LS",L495
Mn,2,253.2781,0.0006,500,9.e-01,D,32836.74,72307.23,,c88,L562
Fe,1,253.28759,0.00002,60,1.43e-02,B,7728.060,47197.010,,T5720,L11631
Co,2,253.29015,0.00005,1600,1.0e-01,D,73147.041,112615.589,,T6999,L9429c118
Cs,3,253.2945,0.0004,4400D,1.49e-01,,165835.434,205303.279,,T8611,L14869
Fe,1,253.31414,0.00005,98,2.07e-01,C+,19621.006,59085.827,,T5720,L11631
Ge,1,253.32305,0.00010,70,1.0e-01,C,557.1341,40020.5604,,T4515,L3476
Mn,2,253.3329,0.0006,500,1.1e+00,D,32859.15,72321.02,,c88,L562
Cs,3,253.34472,0.00018,51000h,2.95e-01,,144868.730,184328.767,,T8611,L14869
V,2,253.3452,0.0008,1600,5.3e-01,D+,49593.4096,89053.345,,T9770,L10089c179
Fe,2,253.3511,0.0005,180d,3.4e-02,D+,65696.053,105155.093,,T6892c83,L18349c143
Cs,3,253.3610,0.0002,3200,1.26e-01,,138464.327,177921.836,,T8611,L14869
Fe,2,253.362708,0.000012,200000,1.92e+00,B+,21430.3564,60887.606,,T6892c83,L18349c139
W,1,253.3635,0.0010,35r,9.8e-01,B,1670.29,41127.38,,T6977,L153
B,4,253.374,0.005,40*,2.9992e-04,AAA,1982230.7,2021686.5,,T8636c73,L12548
B,4,253.374,0.005,40*,1.4682e-02,AAA,1982230.7,2021686.5,,T8636c73,L12548
B,4,253.374,0.005,40*,1.3226e-01,AAA,1982230.7,2021686.5,,T8636c73,L12548
B,4,253.374,0.005,40*,6.9307e-03,AAA,1982230.7,2021686.5,,T8636c73,L12548
B,4,253.374,0.005,40*,8.1290e-02,AAA,1982230.7,2021686.5,,T8636c73,L12548
B,4,253.374,0.005,40*,1.2160e-01,AAA,1982230.7,2021686.5,,T8636c73,L12548
Co,2,253.37505,0.00010,110,8.e-02,D,51512.268,90967.590,,T6999,L9429c118
Co,2,253.38007,0.00003,55000,4.1e-01,D,25147.233,64601.778,,T6999,L9429c118
Co,2,253.38555,0.00003,35000,1.4e+00,D,24411.479,63865.170,,T6999,L9429c118
Ar,3,253.392,0.004,3,2.7e-01,E,186904.026,226357.0086,,"T1619CA,LS",L7491
V,2,253.39747,0.00008,6800,2.8e-01,C,38517.085,77968.921,,T9770,L18516
P,1,253.3976,0.0010,750,2.00e-01,C,18722.71,58174.366,,T1220,L5148
Fe,2,253.41640,0.00010,2600,1.0e-01,D+,46967.4751,86416.370,,T6892c83,L18349c139
Fe,2,253.42195,0.00019,700,7.e-03,D,65931.358,105379.425,,T6892c83,L18349c139
Mn,2,253.4221,0.0006,800,1.0e+00,D,32859.15,72307.23,,c88,L562
Fe,2,253.441837,0.000012,150000,1.83e+00,B+,21711.8963,61156.827,,T6892c83,L18349c139
Fe,2,253.450335,0.000020,5000,1.03e+00,C+,65363.607,104807.215,,T6892c83,L18349c139
V,2,253.451989,0.000020,13000,3.5e-01,C,11295.511,50738.861,,T9770,L18516
Ti,2,253.461943,0.000013,610,2.95e-01,B+,983.9157,40425.7183,,T7385,u37
Ac,2,253.4851,0.0006,3800,6.0e-02,E,5267.147,44705.290,,T10463,L7344
Co,2,253.4883,0.0015,590d,2.2e-02,D,52229.725,91667.338,,T6999,L4687c119
Fe,2,253.48889,0.00005,1700,4.3e-01,D+,65556.271,104993.879,,T6892c83,L18349c139
Co,3,253.502,0.002,53,5.e-03,D,70935.243,110371.568,,u37,L3537c164
Mn,2,253.5041,0.0018,60*,3.6e-01,D,43395.395,82830.76,,c88,L562
Ag,2,253.530785,0.000019,19000,3.4e-02,E,40745.3671,80176.4601,,T6475c86,L11881c113
Fe,2,253.53621,0.00003,9000,2.5e+00,C+,44929.532,84359.779,,T6892c83,L18349c139
Fe,2,253.548528,0.000013,90000,7.5e-01,B,22637.1950,62065.528,,T7461,L18349c139
Mo,5,253.5488,0.0010,1300,2.3e+00,C,237759.53,277187.91,,T9479,L19131
Co,2,253.55865,0.00007,280,3.8e-02,D,74376.792,113803.548,,T6999,L9429c118
P,1,253.5603,0.0010,950,9.5e-01,C,18748.01,58174.366,,T1220,L5148
Fe,1,253.56068,0.00002,4170,9.59e-01,B,978.074,40404.518,,T5720,L11631
Mn,2,253.5658,0.0006,1000,4.67e-01,B+,27583.59,67009.217,,T7259,L562
Co,2,253.57909,0.00005,410,2.0e-01,D,46452.700,85876.271,,T6999,L9429c118
Ti,2,253.587016,0.000013,384,4.86e-01,B+,907.9672,40330.3168,,T7385,u37
Co,1,253.596,0.010,2900,1.9e+00,C,1406.84,40827.77,,T4223,L3475
Mn,2,253.5977,0.0006,300,1.34e-01,B+,27588.53,67009.217,,T7259,L562
Mn,2,253.600,0.002,100,7.0e-03,C,27589.36,67009.217,,T7259,L562
Co,1,253.649,0.010,860,3.0e-01,D,4142.66,43555.22,,T4223,L3475
Hg,1,253.65210,0.00010,900000,8.40e-02,A+,0.000,39412.237,,T7227,L7247
Fe,2,253.667231,0.000012,80000,5.7e-01,C+,26170.1810,65580.065,,T6892c83,L18349c139
Fe,2,253.680452,0.000012,150000,1.69e+00,B+,21581.6151,60989.444,,T6892c83,L18349c139
Fe,2,253.684496,0.000012,70000,6.8e-01,C+,21430.3564,60837.560,,T6892c83,L18349c139
Fe,2,253.6990,0.0005,250d,2.3e-02,D,59663.440,99068.465,,T6892c83,L18349c143
Fe,2,253.71036,0.00012,1900,1.0e-02,D,25428.7893,64831.951,,T6892c83,L18349c139
Co,2,253.7125,0.0010,150,1.9e-02,D,47537.365,86940.150,,T6999,L4687c119
Fe,2,253.713775,0.000012,90000,1.44e+00,C+,38458.9934,77861.650,,T7466,L18349c139
Fe,1,253.71745,0.00002,2090,3.70e+00,B,19390.168,58792.255,,T5720,L11631
Co,2,253.74498,0.00003,5000,1.8e-01,D,24267.382,63665.192,,T6999,L9429c118
Fe,1,253.74587,0.00002,240,3.19e-02,C+,11976.239,51373.910,,T5720,L11631
Fe,3,253.7537,0.0013,810,1.9e-02,D,93388.77,132785.41,,T6105,L3495
V,2,253.76191,0.00020,1400,1.7e-01,C,25191.0356,64586.215,,T9770,L18516
Mn,2,253.7919,0.0006,1000,1.6e+00,D,32857.27,72247.73,,c88,L562
Co,2,253.80073,0.00007,220,2.2e-02,D,45197.711,84586.868,,T6999,L9429c118
Mn,2,253.8041,0.0006,500,6.e-01,D,32859.15,72247.73,,c88,L562
Tl,1,253.818,0.010,2r,1.6e-02,C,,,,T4515,L3428
Fe,2,253.820421,0.000012,50000bl(Fe II)*,1.26e+00,B+,32875.6409,72261.742,,T6892c83,L18349c148
Fe,2,253.820421,0.000012,50000bl(Fe II)*,6.5e-02,D+,26170.1810,65556.271,,T6892c83,L18349c148
Cs,3,253.8397,0.0005,630,2.05e-01,,171313.524,210696.634,,T8611,L14869
Fe,2,253.83980,0.00006,4000,3.7e-02,D+,22939.3512,62322.445,,T6892c83,L18349c139
Fe,2,253.850014,0.000012,40000,5.9e-01,D+,21711.8963,61093.406,,T6892c83,L18349c139
Fe,2,253.85893,0.00004,7000,1.1e-01,D+,27620.4033,67000.530,,T6892c83,L18349c139
Fe,2,253.867869,0.000014,29000,7.4e-01,C+,38858.9696,78237.709,,T7466,L18349c139
Fe,1,253.86992,0.00005,145,2.74e-03,C+,7728.060,47106.484,,T5720,L11631
Cs,3,253.8703,0.0003,19000,2.43e-01,,138543.477,177921.836,,T8611,L14869
Fe,2,253.873759,0.000019,2500,1.08e+00,C+,70523.694,109901.523,,T6892c83,L18349c139
Fe,2,253.879842,0.000012,140000,1.41e+00,B+,21430.3564,60807.239,,T6892c83,L18349c139
Fe,2,253.890920,0.000012,100000,1.28e+00,C+,21581.6151,60956.781,,T6892c83,L18349c139
Cr,1,253.89498,0.00002,16,1.1e-01,E,7593.1484,46967.6827,,T3196,L14866
C,2,253.8980,0.0020,38,8.66e-02,B,186443.71,225817.93,,T5109LS,L1176
Fe,2,253.899324,0.000012,210000,1.93e+00,B+,21251.5833,60625.446,,T6892c83,L18349c139
Pt,1,253.92067,0.00006,10000,9.e-02,E,823.6608,40194.2203,,T2202,L11529
Fe,2,253.932760,0.000012,8000,2.59e+00,B+,70314.624,109683.303,,T6892c83,L18349c139
Mo,5,253.9344,0.0010,2200,2.2e+00,C,240109.61,279478.11,,T9479,L19131
Fe,1,253.93567,0.00002,209,2.41e-02,C+,7376.764,46744.993,,T5720,L11631
Fe,2,253.94012,0.00010,500,6.3e-02,D+,65696.053,105063.561,,T6892c83,L18349c139
Li,2,253.949,0.010,,1.7886e-01,AAA,561752.82,601119.02,,T8636c73,L3501
Fe,2,253.9535,0.0005,340,3.0e-02,D+,44446.9051,83812.352,,T6892c83,L18349c142
Fe,2,253.98049,0.00002,14000,5.6e-02,C+,22810.3459,62171.624,,T7503,L18349c139
Co,2,253.98671,0.00009,180,1.0e-01,D,52684.634,92044.913,,T6999,L9429c118
Fe,2,253.99089,0.00014,500,4.0e-02,D+,65931.358,105291.014,,T6892c83,L18349c139
Fe,2,254.0051,0.0005,1100,8.e-03,D,27314.9183,66672.336,,T6892c83,L18349c143
Fe,2,254.0192,0.0005,150d,1.3e-02,D,64834.069,104189.382,,T6892c83,L18349c142
C,2,254.0390,0.0020,48,2.01e-01,B,186466.03,225817.93,,T5109LS,L1176
Fe,2,254.0411,0.0005,400,3.6e-03,D,32909.883,72261.742,,T6892c83,L18349c142
Fe,2,254.05220,0.00005,6000,1.3e+00,D+,37227.277,76577.436,,T6892c83,L18349c139
Cs,3,254.0528,0.0003,9000h,2.78e+00,,181544.785,220894.873,,T8611,L14869
Co,2,254.06229,0.00003,64000,1.5e+00,C+,24267.382,63615.990,,T6999,L9429c118
Fe,2,254.066102,0.000013,100000,1.70e+00,B+,36252.931,75600.900,,T6892c83,L18349c145
Fe,1,254.06633,0.00002,2630,1.41e-02,B+,704.007,40052.035,,T5720,L11631
Fe,2,254.067636,0.000012,40000,1.9e-01,D+,22810.3459,62158.126,,T6892c83,L18349c139
Sc,2,254.0824,0.0010,3g,2.6e-02,B',0.00,39345.52,,T5448,L5141
Cs,3,254.0833,0.0003,4000,8.56e-02,,150093.899,189439.279,,T8611,L14869
C,2,254.0880,0.0020,29,1.20e-01,B,186427.37,225771.76,,T5109LS,L1176
Fe,1,254.09720,0.00002,4680,9.59e-01,C+,888.132,40231.336,,T5720,L11631
Fe,2,254.110071,0.000012,80000,9.6e-01,C+,22810.3459,62151.554,,T6892c83,L18349c139
Co,2,254.11447,0.00015,210,6.e-02,D,68203.012,107543.564,,T6999,L9429c118
Fe,2,254.14052,0.00018,600,6.8e-02,D+,65580.065,104916.552,,T6892c83,L18349c139
Ca,3,254.1498,0.0005,3200,7.4e-01,B,242547.19,281882.24,,T7942,L1405
Co,2,254.15097,0.00004,900p,9.e-01,D,74522.916,113857.840,,T6999,L9429c118
W,1,254.1696,0.0010,20,4.8e-02,B,6219.33,45551.32,,T6977,L153
Ti,4,254.1786,0.0010,8,6.9e+00,D,196804.27,236135.29,,T2757,"L2753,L11926"
Si,3,254.182,0.010,25,3.22e-01,B,82884.41,122214.52,,"c44,T5038,T1860",L4833
Fe,2,254.183549,0.000012,60000,8.2e-01,C+,21711.8963,61041.734,,T6892c83,L18349c139
Ti,1,254.1908,0.0003,15+,4.3e-01,C,386.874,39715.439,,T3499n,L10989
Co,2,254.19531,0.00003,52000,7.0e-01,C+,10708.331,50036.348,,T6135,L9429c118
Fe,1,254.21011,0.00002,1820,4.47e+00,C+,19621.006,58946.732,,T5720,L11631
V,2,254.22097,0.00007,7300,5.1e-01,D+,36489.4382,75813.492,,T9770,L18516
Fe,2,254.23084,0.00018,900,1.3e-01,D+,64286.354,103608.921,,T6892c83,L18349c139
Fe,2,254.2316,0.0010,1400,4.e-03,E,3117.4877,42439.8511,,T6892c83,L7357
Fe,2,254.2391,0.0005,1500bl(Fe I),2.4e-02,D,47389.809,86710.911,,T6892c83,L18349c143
V,2,254.270901,0.000024,15000,6.9e-01,D+,37205.0213,76521.357,,T9770,L18516
Fe,2,254.273581,0.000013,40000bl(Fe I),1.6e+00,D+,26932.7348,66248.647,,T6892c83,L18349c148
Na,3,254.2791,0.0005,14,3.39e-01,B+,367550.17,406865.11,,"c51,T7317",L1882
Co,2,254.28791,0.00008,93,1.5e-01,D,67910.933,107224.636,,T6999,L9429c118
Mn,2,254.2923,0.0006,800,8.5e-01,B+,27588.53,66901.494,,T7259,L562
Fe,2,254.30507,0.00018,500bl(Fe I),7.0e-02,D+,64286.354,103597.409,,T6892c83,L18349c146
Fe,2,254.308010,0.000015,4000,1.58e+00,B+,70314.624,109625.216,,T6892c83,L18349c139
Ba,1,254.32,0.02,,4.1e-02,E,0.000,39311.95,,T4515,L7361
Tc,2,254.323,0.010,500,4.1e+00,,0.00,39308.38,,T6050,L4515
